ID,Airline,PeakTime,Destination,Purpose,Transportation,Problem,Satisfaction,NetPromoter,NPS,Food,Store,Restroom,Safety,Cleanliness,Gender,Age,Income,FreqFlyer,MemberPremiumClear,Language
1,SOUTHWEST,Domestic Peak,U.S. West,Vacation,Limo,NA,4,8,Passives,3,3,4,3,4,Female,65 and over,"$50,000-$100,000",No,No,English
2,SOUTHWEST,Domestic Peak,U.S. West,Vacation,Uber/Lyft,NA,3,10,Promoters,3,NA,NA,5,NA,Female,35-44,NA,NA,No,English
3,SOUTHWEST,Domestic Offpeak,U.S. West,Business,Dropped off,NA,4,10,Promoters,NA,NA,4,4,5,Male,35-44,"$100,001-$150,000",No,No,English
4,SOUTHWEST,Domestic Offpeak,U.S. West,Business,BART,NA,3,5,Detractors,1,2,4,4,4,Male,35-44,"$100,001-$150,000",Yes,No,English
5,SOUTHWEST,Domestic Offpeak,U.S. West,Vacation,Van,NA,4,10,Promoters,NA,NA,4,5,4,Female,18-24,"$50,000-$100,000",No,No,English
6,SOUTHWEST,Domestic Offpeak,U.S. West,Visit friends,Dropped off,NA,5,10,Promoters,3,4,5,5,5,Female,25-34,"$50,000-$100,000",No,No,English
7,SOUTHWEST,Domestic Offpeak,U.S. West,Visit friends,Airport Bus,NA,5,10,Promoters,5,3,5,5,5,Female,35-44,"$150,000 or higher",No,No,English
8,SOUTHWEST,Domestic Offpeak,U.S. West,Visit friends,Uber/Lyft,NA,NA,8,Passives,3,NA,5,4,5,Female,55-64,NA,No,No,English
9,SOUTHWEST,Domestic Offpeak,U.S. West,Visit friends,Dropped off,NA,3,7,Passives,NA,NA,2,3,3,Female,45-54,"$100,001-$150,000",No,NA,English
10,SOUTHWEST,Domestic Offpeak,U.S. West,Visit friends,Uber/Lyft,NA,5,10,Promoters,3,5,3,4,3,Female,NA,NA,No,No,English
11,SOUTHWEST,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,3,5,Detractors,1,3,3,4,2,Male,25-34,"$150,000 or higher",No,No,English
12,SOUTHWEST,Domestic Offpeak,U.S. West,Vacation,Connect from another flight,NA,3,8,Passives,3,3,3,4,3,Male,NA,"$50,000-$100,000",No,No,English
13,SOUTHWEST,Domestic Offpeak,U.S. West,Business,Dropped off,NA,4,10,Promoters,3,3,2,4,3,Female,18-24,"$50,000-$100,000",No,No,English
14,SOUTHWEST,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,4,10,Promoters,2,3,2,4,3,Male,18-24,"less than $50,000",No,No,English
100,UNITED,Domestic Peak,U.S. East,Business,Limo,NA,4,11,NA,4,4,3,5,4,Female,55-64,"$150,000 or higher",Yes,Yes,English
