Borough,Sector,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Barking and Dagenham,Food,127.9485325,129.9277067,130.8626226,132.0676689,132.5921975,133.718226,135.4580006,137.5399594,139.4598317,141.3124406,143.3456059,145.3346339
Barnet,Food,291.8277479,293.3150445,294.9537838,298.2931568,301.6080265,306.3558285,312.8372222,319.6255948,325.7294506,331.4404791,337.2842317,342.9634957
Bexley,Food,127.9515742,129.242023,130.1312568,131.4679568,132.5386667,134.3280683,136.6627134,139.6430964,142.0548156,144.6166954,147.3133512,149.7989907
Brent,Food,261.0944821,257.5835258,255.3527007,255.9948795,257.5059222,260.6493703,265.4799523,270.8267173,275.468368,279.9478111,284.3449446,288.698458
Bromley,Food,267.5891486,267.8338654,269.8345129,274.7108493,278.3300932,284.1394079,291.7630891,299.9592751,307.1624548,314.3543787,321.307305,328.1701538
Camden,Food,415.362885,427.9481941,442.6827303,460.643444,477.5683464,498.4270312,522.8415386,548.6844861,574.0567305,600.0297978,627.1456997,654.5301064
City of London,Food,12.08467586,11.5402733,11.25532049,11.5198908,11.66285058,12.10623136,12.38586837,13.01457294,13.48606766,14.06466324,14.51336589,14.99531467
Croydon,Food,390.6322814,394.8840856,398.1959663,402.9668399,406.7031764,412.4866777,420.7833701,429.3927874,437.1541225,445.0715786,452.356242,460.5526914
Ealing,Food,361.7198627,362.775065,364.169609,367.8037422,370.845048,376.1421342,383.9826612,392.6421335,399.8967836,407.3058422,414.4717657,421.9214815
Enfield,Food,147.135534,147.3353512,147.7190789,149.1731034,150.681782,153.1211025,156.5282441,160.018137,163.3203372,166.7103117,169.9711076,173.1117545
Greenwich,Food,206.6989639,207.0768686,207.9181347,210.6524338,213.2812982,217.0055351,222.3171415,228.0826477,233.553169,238.7946735,244.0729761,249.2563708
Hackney,Food,236.7527407,238.8998862,239.4344712,240.5194582,240.8160714,242.4448562,245.750745,249.2715282,252.7504632,255.9399183,259.195027,262.4793925
Hammersmith and Fulham,Food,283.572681,290.3950271,299.0615338,308.416433,316.6767732,327.6634298,340.7694529,353.8207316,367.15882,380.3304468,393.2769987,406.490903
Haringey,Food,128.5948555,128.1563516,128.1870346,128.895126,129.6036514,131.1183376,133.1624262,135.5414912,137.4999505,139.3682304,141.2131828,143.095031
Harrow,Food,216.7700673,218.8099721,220.4763481,223.1382758,225.1084217,228.4282931,232.8994059,237.5781876,241.8440521,245.9718638,250.4381085,254.4282641
Havering,Food,120.0043186,119.4544313,119.2102094,119.6440703,120.2540491,121.7283349,123.9105408,126.4005307,128.67503,130.9078528,133.0394896,135.0882847
Hillingdon,Food,332.6021823,338.9252471,346.3065105,354.8229818,363.6728217,374.4465727,387.9660385,402.9298712,416.9460553,431.2358642,445.8057553,460.0896905
Hounslow,Food,311.9068276,315.037784,316.3722878,318.5304214,319.7037433,322.1398329,326.3651407,330.8206827,335.1885775,339.3199495,343.4637395,347.3986194
Islington,Food,188.357124,193.4961504,199.6787831,207.8621195,216.1247099,225.4454284,236.4308368,248.3007161,260.1892641,272.1401867,284.4213551,297.3853419
Kensington and Chelsea,Food,207.6759069,208.3722747,211.9301338,217.6126386,223.5928098,230.9618402,240.3602037,251.5575796,262.4263748,273.7026572,285.1053532,296.6545022
Kingston upon Thames,Food,170.3152556,173.6514823,177.9050043,182.3327887,186.9709706,191.9662418,198.517034,205.6558583,212.5193498,219.4581679,226.5821977,233.8863624
Lambeth,Food,317.5298209,326.4488343,334.4122835,340.1583652,344.7257641,351.0505189,359.1773305,368.1673925,376.7332969,384.9828841,393.598374,401.8681636
Lewisham,Food,257.2139825,257.278123,257.2960769,259.2652068,261.2736303,264.7099892,269.7050532,275.1645323,280.2050725,285.1037168,289.8573547,294.7484313
Merton,Food,213.1503603,212.2485382,211.577791,212.5601424,213.9104014,216.569146,220.2269543,224.4035229,228.2483347,232.1369709,235.5478795,239.1879236
Newham,Food,244.1032597,245.0960223,246.9109652,251.3543192,255.4723036,261.7738992,269.9682976,278.311125,286.8290822,295.1816602,303.6496674,312.2968198
Redbridge,Food,140.1408023,140.6618762,140.8777156,141.8862278,142.7671364,144.4332378,146.9313969,149.6830337,152.2238446,154.5759524,157.0601237,159.4142283
Richmond upon Thames,Food,184.9729293,187.2351397,190.924662,195.7659215,200.2305173,205.5092127,212.2160997,219.4221288,226.2128722,232.7872364,239.6473638,246.5551628
Southwark,Food,327.7755759,335.4801856,341.9105145,350.1065892,357.5342656,366.8891998,378.6398217,391.5613611,404.2039524,416.7440718,429.8326434,443.2947585
Sutton,Food,185.9397043,187.8982037,190.2856918,193.8820548,197.4894393,202.089941,208.0131271,214.3369038,220.0817882,225.8750382,231.6031016,236.9921575
Tower Hamlets,Food,300.600763,308.2227265,317.0154447,328.7986706,340.9835408,355.911618,373.3480139,391.9757528,411.1105083,430.4545281,450.9412262,471.993598
Waltham Forest,Food,142.8707129,144.9708477,146.1917835,147.5543441,148.2393063,149.4714722,151.4987035,153.7514493,155.8821512,157.6591238,159.9090361,162.1677256
Wandsworth,Food,482.5677015,491.8349702,501.730825,510.8826023,514.5428205,521.7651075,532.7898688,544.0800293,554.1687124,564.0793193,573.5087007,583.291702
Westminster,Food,417.5127005,430.9577645,445.0335768,461.5836312,478.1503022,498.2628813,521.8761166,547.820171,572.8050277,598.8685756,625.2771022,652.6095149
Greater London,Food,8020.975159,8122.993029,8235.80454,8390.865515,8531.160005,8723.258132,8971.561513,9239.983063,9495.243762,9750.471912,10009.09938,10270.749
,,,,,,,,,,,,,
