Code,Borough,sexc,sex,Observation
E09000001,City of London,1,Female,3861
E09000001,City of London,2,Male,4722
E09000002,Barking and Dagenham,1,Female,112288
E09000002,Barking and Dagenham,2,Male,106581
E09000003,Barnet,1,Female,200799
E09000003,Barnet,2,Male,188545
E09000004,Bexley,1,Female,127970
E09000004,Bexley,2,Male,118502
E09000005,Brent,1,Female,173121
E09000005,Brent,2,Male,166695
E09000006,Bromley,1,Female,171733
E09000006,Bromley,2,Male,158258
E09000007,Camden,1,Female,110652
E09000007,Camden,2,Male,99484
E09000008,Croydon,1,Female,203086
E09000008,Croydon,2,Male,187633
E09000009,Ealing,1,Female,186205
E09000009,Ealing,2,Male,180910
E09000010,Enfield,1,Female,172473
E09000010,Enfield,2,Male,157511
E09000011,Greenwich,1,Female,148570
E09000011,Greenwich,2,Male,140498
E09000012,Hackney,1,Female,135303
E09000012,Hackney,2,Male,123843
E09000013,Hammersmith and Fulham,1,Female,97214
E09000013,Hammersmith and Fulham,2,Male,85943
E09000014,Haringey,1,Female,136994
E09000014,Haringey,2,Male,127244
E09000015,Harrow,1,Female,132406
E09000015,Harrow,2,Male,128797
E09000016,Havering,1,Female,135668
E09000016,Havering,2,Male,126384
E09000017,Hillingdon,1,Female,154860
E09000017,Hillingdon,2,Male,151049
E09000018,Hounslow,1,Female,144979
E09000018,Hounslow,2,Male,143202
E09000019,Islington,1,Female,113291
E09000019,Islington,2,Male,103298
E09000020,Kensington and Chelsea,1,Female,76312
E09000020,Kensington and Chelsea,2,Male,67063
E09000021,Kingston upon Thames,1,Female,87047
E09000021,Kingston upon Thames,2,Male,81016
E09000022,Lambeth,1,Female,163713
E09000022,Lambeth,2,Male,153941
E09000023,Lewisham,1,Female,157820
E09000023,Lewisham,2,Male,142733
E09000024,Merton,1,Female,110531
E09000024,Merton,2,Male,104656
E09000025,Newham,1,Female,175723
E09000025,Newham,2,Male,175313
E09000026,Redbridge,1,Female,156929
E09000026,Redbridge,2,Male,153331
E09000027,Richmond upon Thames,1,Female,101317
E09000027,Richmond upon Thames,2,Male,93961
E09000028,Southwark,1,Female,158633
E09000028,Southwark,2,Male,149004
E09000029,Sutton,1,Female,108156
E09000029,Sutton,2,Male,101483
E09000030,Tower Hamlets,1,Female,154437
E09000030,Tower Hamlets,2,Male,155869
E09000031,Waltham Forest,1,Female,141951
E09000031,Waltham Forest,2,Male,136474
E09000032,Wandsworth,1,Female,172253
E09000032,Wandsworth,2,Male,155253
E09000033,Westminster,1,Female,105327
E09000033,Westminster,2,Male,98909
